Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Income share held by highest 10%,SI.DST.10TH.10,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Bangladesh,BGD,..,27.9,..,..,26.8,..,..,..,..,..,27.4,..
Income share held by highest 10%,SI.DST.10TH.10,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Belarus,BLR,..,24,22.6,21.2,21.3,21.3,21.4,21.3,20.7,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Belgium,BEL,..,28.3,22.4,22.2,22.2,21.9,22.2,22.3,21.4,21.9,..,..
Income share held by highest 10%,SI.DST.10TH.10,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Benin,BEN,..,..,..,37.6,..,..,30,..,..,27.2,..,..
Income share held by highest 10%,SI.DST.10TH.10,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Bhutan,BTN,..,..,..,..,..,27.9,..,..,..,..,22.7,..
Income share held by highest 10%,SI.DST.10TH.10,Bolivia,BOL,31.7,47.8,36,34.8,32.4,32,30.6,30.8,32.6,30.3,..,..
Income share held by highest 10%,SI.DST.10TH.10,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Botswana,BWA,..,..,..,41.5,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Brazil,BRA,48.1,..,41,40.9,42.1,42,42.5,42,39.5,41.6,41,..
Income share held by highest 10%,SI.DST.10TH.10,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Bulgaria,BGR,..,..,28.8,28.7,31.4,31.9,32.6,31.4,32.6,29.9,..,..
Income share held by highest 10%,SI.DST.10TH.10,Burkina Faso,BFA,..,..,29.6,..,..,..,35.3,..,..,30.2,..,..
Income share held by highest 10%,SI.DST.10TH.10,Burundi,BDI,..,..,..,..,..,..,..,..,29.9,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Cabo Verde,CPV,..,..,..,32.3,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Cameroon,CMR,..,..,35,..,..,..,..,..,..,31.1,..,..
Income share held by highest 10%,SI.DST.10TH.10,Canada,CAN,23.5,25.6,25.2,25.5,25,25.3,24.8,24.4,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,33.1,..,..
Income share held by highest 10%,SI.DST.10TH.10,Chad,TCD,..,..,..,..,..,..,29.7,..,..,..,29.6,..
Income share held by highest 10%,SI.DST.10TH.10,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Chile,CHL,47.1,42.6,..,36.8,..,36.9,..,..,37.3,..,34.5,..
Income share held by highest 10%,SI.DST.10TH.10,China,CHN,25.8,..,29.7,29.4,29.4,29.9,29.4,29.5,29.4,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Colombia,COL,..,47,41.4,39.9,39.8,39,39.7,40.3,41.8,43.7,43.5,..
Income share held by highest 10%,SI.DST.10TH.10,Comoros,COM,..,..,33.7,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,35.8,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Costa Rica,CRI,33,35.7,36.9,36.8,37.3,37,36.4,36.7,37,37.2,35.7,..
Income share held by highest 10%,SI.DST.10TH.10,Cote d'Ivoire,CIV,..,..,..,31.9,..,..,29,..,..,27.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Croatia,HRV,..,..,24,23.2,23.2,22.9,22.7,22.2,22.3,22.3,..,..
Income share held by highest 10%,SI.DST.10TH.10,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Cyprus,CYP,..,..,28.8,27.5,26.8,25.5,27.2,25.5,26.3,25.7,..,..
Income share held by highest 10%,SI.DST.10TH.10,Czechia,CZE,..,..,22.1,22.1,21.9,21.5,21.5,21.5,22.5,22.2,..,..
Income share held by highest 10%,SI.DST.10TH.10,Denmark,DNK,..,20.1,23.6,23.8,23.7,24,23.5,23.5,22.9,23.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Djibouti,DJI,..,..,..,..,..,32.3,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Dominican Republic,DOM,..,40.2,33.4,34.9,35.4,33.5,35.2,33.1,30.4,30.2,28.3,..
Income share held by highest 10%,SI.DST.10TH.10,Ecuador,ECU,..,45.9,34.4,34.9,34.3,33.8,34.4,34.5,36,34.7,34.3,..
Income share held by highest 10%,SI.DST.10TH.10,"Egypt, Arab Rep.",EGY,26.7,..,..,27.8,..,26.9,..,27.5,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,El Salvador,SLV,..,39,32.2,31.8,30.7,29.1,29.4,29.8,..,29,28.7,..
Income share held by highest 10%,SI.DST.10TH.10,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Estonia,EST,..,..,26.3,24.4,23.1,22.5,22.4,23.3,23.5,24.3,..,..
Income share held by highest 10%,SI.DST.10TH.10,Eswatini,SWZ,..,44.1,..,..,42.7,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Ethiopia,ETH,..,..,..,28.5,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Fiji,FJI,..,..,..,..,..,..,..,24.2,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Finland,FIN,..,22.7,22,22.4,22.4,22.6,22.6,23,22.6,22.9,..,..
Income share held by highest 10%,SI.DST.10TH.10,France,FRA,25.2,25.4,26.1,26.6,25.9,25.8,26.7,24.8,24.5,24.9,..,..
Income share held by highest 10%,SI.DST.10TH.10,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Gabon,GAB,..,..,..,..,..,27.7,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Gambia, The",GMB,..,..,..,28.7,..,..,..,..,30.6,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Georgia,GEO,..,30.3,28.6,27.8,28.1,28.9,27.5,27.6,26.2,26.2,..,..
Income share held by highest 10%,SI.DST.10TH.10,Germany,DEU,..,22.9,24.1,24.8,24.6,24.8,25.2,25.2,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Ghana,GHA,..,..,..,..,32.2,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Greece,GRC,..,25.7,26.1,26.2,25.9,25.9,24.9,24.9,25.2,24.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Grenada,GRD,..,..,..,..,..,..,33.7,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Guatemala,GTM,..,43.9,38.1,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Guinea,GIN,..,..,..,..,..,..,23.1,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Guinea-Bissau,GNB,..,..,..,..,..,..,27.6,..,..,26.1,..,..
Income share held by highest 10%,SI.DST.10TH.10,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Honduras,HND,45.5,..,37.4,36.6,36,36.6,35.3,34.6,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Hungary,HUN,..,..,24,23.8,23.8,23.9,23.2,23.3,23.3,24.1,..,..
Income share held by highest 10%,SI.DST.10TH.10,Iceland,ISL,..,..,23.5,22.5,22.8,22.1,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,India,IND,..,..,..,29.7,29.7,30.5,28.4,26.3,26.3,25.6,..,..
Income share held by highest 10%,SI.DST.10TH.10,Indonesia,IDN,27,25,32.5,33,31,30.2,29.9,29.5,29.5,30.1,30.7,31.4
Income share held by highest 10%,SI.DST.10TH.10,"Iran, Islamic Rep.",IRN,33.5,..,27.1,27.6,28.1,28.3,29.1,28.3,27.6,27.2,26.8,..
Income share held by highest 10%,SI.DST.10TH.10,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Ireland,IRL,..,26.1,24.9,25.4,25.9,25.4,25.1,25.1,23.8,24.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Israel,ISR,..,..,28.2,28.6,27.7,27,27.6,27.1,26.7,27.1,..,..
Income share held by highest 10%,SI.DST.10TH.10,Italy,ITA,..,26.4,25.5,25.8,26,26.7,25.9,25.8,26.1,26.2,..,..
Income share held by highest 10%,SI.DST.10TH.10,Jamaica,JAM,32.1,..,..,..,..,..,27.6,..,..,29.9,..,..
Income share held by highest 10%,SI.DST.10TH.10,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Jordan,JOR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Kazakhstan,KAZ,..,..,22.6,22.6,22.7,23,23.4,23.6,24.2,24.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Kenya,KEN,..,..,..,31.6,..,..,..,..,28.6,31.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Kiribati,KIR,..,..,..,..,..,..,..,22.9,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Korea, Rep.",KOR,..,..,23.6,..,24,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Kosovo,XKX,..,..,22,21.5,21.8,24.6,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Kyrgyz Republic,KGZ,..,24.8,22.9,24.8,22.9,23.3,23.6,25.8,24,24.2,..,..
Income share held by highest 10%,SI.DST.10TH.10,Lao PDR,LAO,..,..,..,..,..,..,31.2,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Latvia,LVA,..,..,26.7,26.2,25.8,26.9,26.9,26.6,27.5,26.2,..,..
Income share held by highest 10%,SI.DST.10TH.10,Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Lesotho,LSO,..,..,..,..,..,32.9,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Liberia,LBR,..,..,26,..,27.1,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Lithuania,LTU,..,..,28.9,28.6,29.5,28.4,27.2,27.5,28.5,29.1,..,..
Income share held by highest 10%,SI.DST.10TH.10,Luxembourg,LUX,22.8,23.7,24.3,25.1,24.1,25.6,26.6,25.8,25,24.6,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Madagascar,MDG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Malawi,MWI,..,..,..,..,38.1,..,..,31,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Malaysia,MYS,..,..,..,31.3,..,..,31.2,..,..,30.9,..,..
Income share held by highest 10%,SI.DST.10TH.10,Maldives,MDV,..,..,..,..,25.2,..,..,23.3,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Mali,MLI,..,..,..,..,..,..,28.1,..,..,28.3,..,..
Income share held by highest 10%,SI.DST.10TH.10,Malta,MLT,..,..,23.3,23.6,23.1,23.3,22.9,24.8,25.1,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Marshall Islands,MHL,..,..,..,..,..,..,..,27.5,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Mauritania,MRT,..,29.5,24.9,..,..,..,..,24.6,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Mauritius,MUS,..,..,..,..,..,29.9,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Mexico,MEX,..,42.4,39.5,..,37.4,..,36.6,..,35.1,..,34.4,..
Income share held by highest 10%,SI.DST.10TH.10,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Moldova,MDA,..,28.5,22.1,22.5,22.7,21.7,22,22,..,22.1,..,..
Income share held by highest 10%,SI.DST.10TH.10,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Mongolia,MNG,..,..,25.5,..,25.6,..,25.7,..,..,..,24.6,..
Income share held by highest 10%,SI.DST.10TH.10,Montenegro,MNE,..,..,26.9,27.7,27.7,26,26,25.4,25.4,24.7,..,..
Income share held by highest 10%,SI.DST.10TH.10,Morocco,MAR,30.7,32.1,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Mozambique,MOZ,..,..,45.5,..,..,..,..,41.2,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Myanmar,MMR,..,..,..,31.7,..,25.5,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Namibia,NAM,..,..,..,47.3,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Nepal,NPL,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Netherlands,NLD,24.5,..,23.3,23,22.9,23.3,23,23.9,21.6,21.4,..,..
Income share held by highest 10%,SI.DST.10TH.10,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Nicaragua,NIC,..,..,37.2,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Niger,NER,..,..,27,..,..,..,31.1,..,..,27.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Nigeria,NGA,..,..,..,26.9,..,..,26.7,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,North Macedonia,MKD,..,..,24.9,24.8,24.1,23.8,23,22.9,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Norway,NOR,..,23.2,21.6,22.3,23.1,21.6,22.2,22.4,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Oman,OMN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Pakistan,PAK,27.1,..,..,27,..,..,25.5,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Panama,PAN,..,43.2,38.5,39,37.9,37.7,37.1,38,..,39.4,..,36.9
Income share held by highest 10%,SI.DST.10TH.10,Papua New Guinea,PNG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Paraguay,PRY,30.8,..,40.7,36.7,37.3,39.1,35.8,35.2,33.3,33.1,35.4,..
Income share held by highest 10%,SI.DST.10TH.10,Peru,PER,..,36.8,32.1,32.6,32.6,32.3,31.6,31.1,32.9,30.5,30.7,..
Income share held by highest 10%,SI.DST.10TH.10,Philippines,PHL,..,37.7,..,34.9,..,..,33.5,..,..,32.5,..,..
Income share held by highest 10%,SI.DST.10TH.10,Poland,POL,..,..,25.2,24.2,24.6,23.5,24,23.1,22.8,22.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Portugal,PRT,..,..,27.4,27.3,27.6,26.7,26.6,26,26.9,27.6,..,..
Income share held by highest 10%,SI.DST.10TH.10,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Romania,ROU,..,..,24.5,24.8,23.7,24.9,24.9,24.5,24.2,24,..,..
Income share held by highest 10%,SI.DST.10TH.10,Russian Federation,RUS,..,27.6,31.9,29.7,28.6,29.2,29.9,30.2,29,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Rwanda,RWA,..,40.8,..,..,35.6,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Sao Tome and Principe,STP,..,24.5,..,..,..,32.8,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Senegal,SEN,..,..,..,..,..,..,30.8,..,..,28.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Serbia,SRB,..,..,28.6,29.2,27.3,25.6,25.5,26,27.1,25.9,..,..
Income share held by highest 10%,SI.DST.10TH.10,Seychelles,SYC,..,..,..,..,..,..,23.9,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Sierra Leone,SLE,..,..,..,..,..,..,29.4,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Slovak Republic,SVK,..,..,20.3,20.9,19.9,18.4,19.6,18.8,19.1,19.2,..,..
Income share held by highest 10%,SI.DST.10TH.10,Slovenia,SVN,..,..,21.2,21.1,20.6,20.4,21,20.7,20.5,20.7,..,..
Income share held by highest 10%,SI.DST.10TH.10,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,South Africa,ZAF,..,44.9,50.5,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,South Sudan,SSD,..,..,..,..,33.1,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Spain,ESP,24.8,25.8,26,26.2,25.8,25.4,25.3,24.9,25,24.7,..,..
Income share held by highest 10%,SI.DST.10TH.10,Sri Lanka,LKA,27.5,..,..,..,32.6,..,..,30.8,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,St. Lucia,LCA,..,..,..,34.1,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Sudan,SDN,..,..,27.8,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Suriname,SUR,..,..,..,..,..,..,..,..,..,..,30.1,..
Income share held by highest 10%,SI.DST.10TH.10,Sweden,SWE,..,22.2,22.2,22.9,23.3,22.3,22.9,22.7,22.4,22.7,..,..
Income share held by highest 10%,SI.DST.10TH.10,Switzerland,CHE,..,25.9,25.5,25.2,25.8,25.5,25.8,26.6,26.4,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,21.1,..
Income share held by highest 10%,SI.DST.10TH.10,Tajikistan,TJK,..,..,..,26.4,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Tanzania,TZA,..,28.9,..,..,..,..,33.1,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Thailand,THA,36.4,33.7,28.7,28.4,28.9,28.3,28.1,27.2,27,27.1,..,..
Income share held by highest 10%,SI.DST.10TH.10,Timor-Leste,TLS,..,..,24,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Togo,TGO,..,..,..,31.6,..,..,33,..,..,29.6,..,..
Income share held by highest 10%,SI.DST.10TH.10,Tonga,TON,..,28.3,..,26.8,..,..,..,..,..,22,..,..
Income share held by highest 10%,SI.DST.10TH.10,Trinidad and Tobago,TTO,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Tunisia,TUN,30.7,31.6,..,25.6,..,..,..,..,..,27,..,..
Income share held by highest 10%,SI.DST.10TH.10,Turkiye,TUR,..,..,..,..,..,34,32.6,33.9,33,34.7,..,..
Income share held by highest 10%,SI.DST.10TH.10,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Uganda,UGA,..,..,..,..,34.2,..,..,34.5,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Ukraine,UKR,..,..,20.6,21.6,21.2,21.7,22,22.3,21.8,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,United Arab Emirates,ARE,..,..,..,..,..,..,20,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,United Kingdom,GBR,27.5,31.1,25.6,25.7,25.5,24.9,25.8,25.1,25,25,..,..
Income share held by highest 10%,SI.DST.10TH.10,Uruguay,URY,..,32.2,29.8,29.8,29.6,29.6,29.7,29.7,29.9,30.8,30.5,..
Income share held by highest 10%,SI.DST.10TH.10,Uzbekistan,UZB,..,28.6,..,..,..,..,..,..,..,..,23.2,..
Income share held by highest 10%,SI.DST.10TH.10,Vanuatu,VUT,..,..,..,..,..,..,..,24.7,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Viet Nam,VNM,..,..,26.8,..,27.1,..,27.5,..,28.5,..,28.1,..
Income share held by highest 10%,SI.DST.10TH.10,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,West Bank and Gaza,PSE,..,..,..,..,25.2,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,"Yemen, Rep.",YEM,..,..,29.4,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Zambia,ZMB,..,..,..,43.5,..,..,..,..,..,..,39.1,..
